Date / Time,Elevation (Ft)
1/1/1989 1:00,M
1/2/1989 0:00,M
1/3/1989 0:00,M
1/4/1989 0:00,7.18
1/5/1989 0:00,7.89
1/6/1989 0:00,7.75
1/7/1989 0:00,8.92
1/8/1989 0:00,9.41
1/9/1989 0:00,9.48
1/10/1989 0:00,M
1/11/1989 0:00,9.91
1/12/1989 0:00,M
1/13/1989 0:00,9.37
1/14/1989 0:00,9.71
1/15/1989 0:00,10.08
1/16/1989 0:00,10.68
1/17/1989 0:00,10.87
1/18/1989 0:00,11.6
1/19/1989 0:00,12.27
1/20/1989 0:00,M
1/21/1989 0:00,M
1/22/1989 0:00,M
1/23/1989 0:00,M
1/24/1989 0:00,M
1/25/1989 0:00,M
1/26/1989 0:00,M
1/27/1989 0:00,14.49
1/28/1989 0:00,14.59
1/29/1989 0:00,14.7
1/30/1989 0:00,14.47
1/31/1989 0:00,14.32
2/1/1989 0:00,M
2/2/1989 0:00,13.53
2/3/1989 0:00,12.92
2/4/1989 0:00,12.27
2/5/1989 0:00,M
2/6/1989 0:00,M
2/7/1989 0:00,M
2/8/1989 0:00,M
2/9/1989 0:00,M
2/10/1989 0:00,M
2/11/1989 0:00,M
2/12/1989 0:00,M
2/13/1989 0:00,M
2/14/1989 0:00,M
2/15/1989 0:00,11.26
2/16/1989 0:00,11.15
2/17/1989 0:00,M
2/18/1989 0:00,11.06
2/19/1989 0:00,11.44
2/20/1989 0:00,12.08
2/21/1989 0:00,13.01
2/22/1989 0:00,13.95
2/23/1989 0:00,14.29
2/24/1989 0:00,14.73
2/25/1989 0:00,15.36
2/26/1989 0:00,15.76
2/27/1989 0:00,16.01
2/28/1989 0:00,16.57
3/1/1989 0:00,16.67
3/2/1989 0:00,M
3/3/1989 0:00,17.24
3/4/1989 0:00,17.63
3/5/1989 0:00,17.83
3/6/1989 0:00,M
3/7/1989 0:00,M
3/8/1989 0:00,18.27
3/9/1989 0:00,M
3/10/1989 0:00,18.27
3/11/1989 0:00,M
3/12/1989 0:00,18.57
3/13/1989 0:00,18.6
3/14/1989 0:00,M
3/15/1989 0:00,18.11
3/16/1989 0:00,17.87
3/17/1989 0:00,17.58
3/18/1989 0:00,17.78
3/19/1989 0:00,17.71
3/20/1989 0:00,M
3/21/1989 0:00,17.46
3/22/1989 0:00,17.43
3/23/1989 0:00,17.57
3/24/1989 0:00,17.32
3/25/1989 0:00,17.25
3/26/1989 0:00,17.02
3/27/1989 0:00,16.71
3/28/1989 0:00,16.36
3/29/1989 0:00,15.93
3/30/1989 0:00,15.86
3/31/1989 0:00,15.32
4/1/1989 0:00,15.04
4/2/1989 0:00,15.04
4/3/1989 0:00,M
4/4/1989 0:00,14.85
4/5/1989 0:00,M
4/6/1989 0:00,14.99
4/7/1989 0:00,15.14
4/8/1989 0:00,15.2
4/9/1989 0:00,15.24
4/10/1989 0:00,15.48
4/11/1989 0:00,15.71
4/12/1989 0:00,15.86
4/13/1989 0:00,16.05
4/14/1989 0:00,15.95
4/15/1989 0:00,16.14
4/16/1989 0:00,16.16
4/17/1989 0:00,16.2
4/18/1989 0:00,16.23
4/19/1989 0:00,16.25
4/20/1989 0:00,16.24
4/21/1989 0:00,16.14
4/22/1989 0:00,16.2
4/23/1989 0:00,16.03
4/24/1989 0:00,M
4/25/1989 0:00,15.58
4/26/1989 0:00,M
4/27/1989 0:00,14.81
4/28/1989 0:00,14.33
4/29/1989 0:00,13.87
4/30/1989 0:00,13.03
5/1/1989 0:00,12.29
5/2/1989 0:00,11.41
5/3/1989 0:00,10.44
5/4/1989 0:00,9.34
5/5/1989 0:00,8.55
5/6/1989 0:00,8.11
5/7/1989 0:00,7.64
5/8/1989 0:00,7.55
5/9/1989 0:00,7.89
5/10/1989 0:00,8.32
5/11/1989 0:00,8.73
5/12/1989 0:00,9.24
5/13/1989 0:00,M
5/14/1989 0:00,M
5/15/1989 0:00,M
5/16/1989 0:00,M
5/17/1989 0:00,M
5/18/1989 0:00,M
5/19/1989 0:00,M
5/20/1989 0:00,M
5/21/1989 0:00,M
5/22/1989 0:00,M
5/23/1989 0:00,12.9
5/24/1989 0:00,13.12
5/25/1989 0:00,13.41
5/26/1989 0:00,13.29
5/27/1989 0:00,13.23
5/28/1989 0:00,13.25
5/29/1989 0:00,13.33
5/30/1989 0:00,13.33
5/31/1989 0:00,13.28
6/1/1989 0:00,13.06
6/2/1989 0:00,M
6/3/1989 0:00,M
6/4/1989 0:00,M
6/5/1989 0:00,M
6/6/1989 0:00,M
6/7/1989 0:00,M
6/8/1989 0:00,M
6/9/1989 0:00,M
6/10/1989 0:00,M
6/11/1989 0:00,M
6/12/1989 0:00,M
6/13/1989 0:00,M
6/14/1989 0:00,M
6/15/1989 0:00,M
6/16/1989 0:00,M
6/17/1989 0:00,M
6/18/1989 0:00,M
6/19/1989 0:00,M
6/20/1989 0:00,M
6/21/1989 0:00,M
6/22/1989 0:00,M
6/23/1989 0:00,M
6/24/1989 0:00,M
6/25/1989 0:00,M
6/26/1989 0:00,M
6/27/1989 0:00,M
6/28/1989 0:00,M
6/29/1989 0:00,M
6/30/1989 0:00,15.36
7/1/1989 0:00,15.67
7/2/1989 0:00,15.52
7/3/1989 0:00,15.55
7/4/1989 0:00,15.74
7/5/1989 0:00,15.75
7/6/1989 0:00,15.76
7/7/1989 0:00,15.57
7/8/1989 0:00,M
7/9/1989 0:00,M
7/10/1989 0:00,M
7/11/1989 0:00,15.76
7/12/1989 0:00,15.53
7/13/1989 0:00,15.66
7/14/1989 0:00,15.61
7/15/1989 0:00,M
7/16/1989 0:00,M
7/17/1989 0:00,M
7/18/1989 0:00,M
7/19/1989 0:00,M
7/20/1989 0:00,M
7/21/1989 0:00,M
7/22/1989 0:00,M
7/23/1989 0:00,M
7/24/1989 0:00,M
7/25/1989 0:00,M
7/26/1989 0:00,M
7/27/1989 0:00,M
7/28/1989 0:00,M
7/29/1989 0:00,M
7/30/1989 0:00,M
7/31/1989 0:00,8.76
8/1/1989 0:00,9.3
8/2/1989 0:00,7.2
8/3/1989 0:00,6.75
8/4/1989 0:00,6.07
8/5/1989 0:00,5.9
8/6/1989 0:00,M
8/7/1989 0:00,M
8/8/1989 0:00,4.81
8/9/1989 0:00,4.85
8/10/1989 0:00,4.62
8/11/1989 0:00,5.09
8/12/1989 0:00,4.39
8/13/1989 0:00,4.59
8/14/1989 0:00,4.41
8/15/1989 0:00,4.22
8/16/1989 0:00,3.84
8/17/1989 0:00,3.57
8/18/1989 0:00,3.56
8/19/1989 0:00,3.27
8/20/1989 0:00,3.21
8/21/1989 0:00,3.06
8/22/1989 0:00,3.09
8/23/1989 0:00,2.69
8/24/1989 0:00,2.47
