Date / Time,Elevation (Ft)
01/21/1891 06:00,M
01/22/1891 06:00,M
01/23/1891 06:00,M
01/24/1891 06:00,M
01/25/1891 06:00,M
01/26/1891 06:00,M
01/27/1891 06:00,M
01/28/1891 06:00,M
01/29/1891 06:00,M
01/30/1891 06:00,M
01/31/1891 06:00,M
02/01/1891 06:00,M
02/02/1891 06:00,M
02/03/1891 06:00,M
02/04/1891 06:00,M
02/05/1891 06:00,M
02/06/1891 06:00,M
02/07/1891 06:00,M
02/08/1891 06:00,M
02/09/1891 06:00,M
02/10/1891 06:00,M
02/11/1891 06:00,M
02/12/1891 06:00,M
02/13/1891 06:00,M
02/14/1891 06:00,M
02/15/1891 06:00,M
02/16/1891 06:00,M
02/17/1891 06:00,M
02/18/1891 06:00,M
02/19/1891 06:00,M
02/20/1891 06:00,M
02/21/1891 06:00,M
02/22/1891 06:00,M
02/23/1891 06:00,M
02/24/1891 06:00,M
02/25/1891 06:00,M
02/26/1891 06:00,591.77
02/27/1891 06:00,591.47
02/28/1891 06:00,100.01
03/01/1891 06:00,M
03/02/1891 06:00,M
03/03/1891 06:00,M
03/04/1891 06:00,M
03/05/1891 06:00,M
03/06/1891 06:00,M
03/07/1891 06:00,M
03/08/1891 06:00,M
03/09/1891 06:00,M
03/10/1891 06:00,M
03/11/1891 06:00,M
03/12/1891 06:00,M
03/13/1891 06:00,M
03/14/1891 06:00,M
03/15/1891 06:00,M
03/16/1891 06:00,M
03/17/1891 06:00,M
03/18/1891 06:00,M
03/19/1891 06:00,M
03/20/1891 06:00,M
03/21/1891 06:00,M
03/22/1891 06:00,M
03/23/1891 06:00,M
03/24/1891 06:00,M
03/25/1891 06:00,M
03/26/1891 06:00,200.02
03/27/1891 06:00,591.47
03/28/1891 06:00,590.87
03/29/1891 06:00,590.97
03/30/1891 06:00,591.37
03/31/1891 06:00,592.17
04/01/1891 06:00,592.57
04/02/1891 06:00,593.27
04/03/1891 06:00,593.37
04/04/1891 06:00,593.57
04/05/1891 06:00,594.07
04/06/1891 07:00,594.27
04/07/1891 07:00,594.57
04/08/1891 07:00,594.77
04/09/1891 07:00,595.07
04/10/1891 07:00,595.27
04/11/1891 07:00,595.37
04/12/1891 07:00,595.47
04/13/1891 07:00,595.47
04/14/1891 07:00,595.77
04/15/1891 07:00,595.77
04/16/1891 07:00,595.87
04/17/1891 07:00,595.97
04/18/1891 07:00,596.07
04/19/1891 07:00,596.17
04/20/1891 07:00,596.27
04/21/1891 07:00,596.27
04/22/1891 07:00,596.47
04/23/1891 07:00,596.77
04/24/1891 07:00,597.07
04/25/1891 07:00,597.37
04/26/1891 07:00,597.67
04/27/1891 07:00,597.77
04/28/1891 07:00,597.97
04/29/1891 07:00,598.17
04/30/1891 07:00,598.37
05/01/1891 07:00,598.37
05/02/1891 07:00,598.37
05/03/1891 07:00,598.27
05/04/1891 07:00,598.07
05/05/1891 07:00,597.87
05/06/1891 07:00,597.67
05/07/1891 07:00,597.17
05/08/1891 07:00,596.57
05/09/1891 07:00,596.27
05/10/1891 07:00,595.67
05/11/1891 07:00,594.77
05/12/1891 07:00,594.37
05/13/1891 07:00,593.67
05/14/1891 07:00,593.17
05/15/1891 07:00,592.57
05/16/1891 07:00,592.07
05/17/1891 07:00,591.67
05/18/1891 07:00,591.37
05/19/1891 07:00,590.97
05/20/1891 07:00,590.67
05/21/1891 07:00,590.47
05/22/1891 07:00,590.27
05/23/1891 07:00,590.27
05/24/1891 07:00,590.17
05/25/1891 07:00,589.97
05/26/1891 07:00,589.77
05/27/1891 07:00,589.67
05/28/1891 07:00,589.57
05/29/1891 07:00,589.37
05/30/1891 07:00,589.27
05/31/1891 07:00,589.17
06/01/1891 07:00,588.97
06/02/1891 07:00,588.97
06/03/1891 07:00,589.37
06/04/1891 07:00,588.97
06/05/1891 07:00,588.87
06/06/1891 07:00,588.77
06/07/1891 07:00,588.77
